session_id,user_type,channel,product,page,event_time,purchase_flag
1,New,Referral,Watch,Home,2025-10-20 16:16:00,0
2,Returning,Paid,Bag,Home,2025-10-20 16:21:00,0
2,Returning,Paid,Bag,Category,2025-10-20 16:23:38,0
2,Returning,Paid,Bag,Product,2025-10-20 16:33:37,0
3,New,Organic,Jacket,Home,2025-10-21 04:41:00,0
3,New,Organic,Jacket,Category,2025-10-21 04:45:19,0
3,New,Organic,Jacket,Product,2025-10-21 04:52:00,0
3,New,Organic,Jacket,AddToCart,2025-10-21 04:57:34,0
4,New,Organic,Watch,Home,2025-10-21 01:58:00,0
4,New,Organic,Watch,Category,2025-10-21 02:07:54,0
5,New,Referral,Jacket,Home,2025-10-20 16:36:00,0
5,New,Referral,Jacket,Category,2025-10-20 16:36:43,0
6,Returning,Organic,Jacket,Home,2025-10-21 03:22:00,0
7,New,Organic,Bag,Home,2025-10-21 07:55:00,0
7,New,Organic,Bag,Category,2025-10-21 08:04:11,0
7,New,Organic,Bag,Product,2025-10-21 08:05:26,0
8,New,Organic,Watch,Home,2025-10-21 06:31:00,0
8,New,Organic,Watch,Category,2025-10-21 06:32:43,0
9,New,Organic,Jacket,Home,2025-10-21 02:22:00,0
9,New,Organic,Jacket,Category,2025-10-21 02:27:47,0
9,New,Organic,Jacket,Product,2025-10-21 02:31:52,0
10,Returning,Organic,Bag,Home,2025-10-21 01:24:00,0
10,Returning,Organic,Bag,Category,2025-10-21 01:26:16,0
10,Returning,Organic,Bag,Product,2025-10-21 01:33:30,0
10,Returning,Organic,Bag,AddToCart,2025-10-21 01:40:21,0
10,Returning,Organic,Bag,Checkout,2025-10-21 01:49:26,1
11,Returning,Organic,Watch,Home,2025-10-20 20:38:00,0
11,Returning,Organic,Watch,Category,2025-10-20 20:43:30,0
12,Returning,Organic,Shoes,Home,2025-10-20 18:25:00,0
12,Returning,Organic,Shoes,Category,2025-10-20 18:32:08,0
12,Returning,Organic,Shoes,Product,2025-10-20 18:32:49,0
12,Returning,Organic,Shoes,AddToCart,2025-10-20 18:35:39,0
13,New,Organic,Watch,Home,2025-10-20 20:56:00,0
13,New,Organic,Watch,Category,2025-10-20 20:59:45,0
13,New,Organic,Watch,Product,2025-10-20 21:03:29,0
13,New,Organic,Watch,AddToCart,2025-10-20 21:09:31,0
14,New,Referral,Bag,Home,2025-10-20 23:00:00,0
14,New,Referral,Bag,Category,2025-10-20 23:02:47,0
14,New,Referral,Bag,Product,2025-10-20 23:08:06,0
14,New,Referral,Bag,AddToCart,2025-10-20 23:10:51,0
14,New,Referral,Bag,Checkout,2025-10-20 23:19:39,1
15,Returning,Organic,Shoes,Home,2025-10-20 20:43:00,0
15,Returning,Organic,Shoes,Category,2025-10-20 20:49:06,0
16,New,Organic,Jacket,Home,2025-10-20 08:03:00,0
